id,document,tag,content
1692,P1_Transcript.vtt,Moderator assist,"00:00:40.890 MODERATOR: If you can go one by one, and then do the tasks and i'm going to be timing these tasks."
1691,P1_Transcript.vtt,Moderator assist,"00:00:49.500 MODERATOR: Yes, please."
1933,P1_Transcript.vtt,Technical session issues,00:01:28.590 P1: You don't have control anymore. 00:01:33.270 P1: it's very slow.
1969,P1_Transcript.vtt,Technical session issues,00:04:31.110 P1: is quite a lag here I just know from your timing through the zoom.
1970,P1_Transcript.vtt,"Helpful text, tooltips and summaries","00:04:40.470 you've got a nice little. 00:04:42.570 P1: pop up there doesn't disappear, though. 00:04:46.050 P1: Unless you click it again okay. 00:04:51.060 P1: Definitely. 00:04:52.650 P1: Possible there should be an all there, I think. 00:04:56.520 P1: that combines definitely high probability can possible."
1971,P1_Transcript.vtt,"Helpful text, tooltips and summaries","00:05:47.910 P1: Okay, so this is just summarizing all the dates, where there has been flares. 00:05:54.420 P1: And our location of interests say Dublin. 00:05:58.020 P1: And you can select more than one."
1975,P1_Transcript.vtt,Complex data linking process,"00:06:01.350 P1: Day range so it's not clear that this is a. 00:06:06.180 P1: date field, I just clicked on that I just found that there was one there and."
1976,P1_Transcript.vtt,Technical session issues,00:06:14.160 P1: i'm just kind of struggling to get down there.
1690,P1_Transcript.vtt,Moderator assist,00:06:17.550 MODERATOR: yeah I think it was a bit of luck.
1708,P1_Transcript.vtt,Moderator assist,"00:06:31.200 MODERATOR: You can you. 00:06:31.980 MODERATOR: can use does the scrolling work for you yeah well, you have to click here sorry."
1973,P1_Transcript.vtt,Technical session issues,00:06:37.980 P1: yeah it's difficult because I. 00:06:45.360 P1: mean i'll try and pick something else. 00:06:49.680 P1: kind of write it in. 00:06:54.390 P1: And there's a lot there's a big lag actually so it's. 00:07:09.210 P1: very hard to reason it's very light Gray and.
1688,P1_Transcript.vtt,Moderator assist,"00:08:09.540 MODERATOR: for the experiment only data from 2020 is available. 00:08:14.460 MODERATOR: Okay, because I accounted for the like in this room and then my using my computer and everything."
1977,P1_Transcript.vtt,Additional features,00:09:03.750 P1: don't think you'd ever need directly or even a. 00:09:08.100 P1: spatial temporal aggregation made Min Max. 00:09:16.770 P1: And you can only select one of those okay. 00:09:21.570 P1: So I don't exactly scenario where you only need man for Max you would need main median or Min Max both together.
1687,P1_Transcript.vtt,Moderator assist,00:10:08.400 MODERATOR: You want to read the next task.
2013,P1_Transcript.vtt,"Helpful text, tooltips and summaries","Nice, there are two buttons that hope you interpret the data that you see."
2014,P1_Transcript.vtt,Unclear standardisation of the data,00:11:48.150 P1: It doesn't just say what if if the data is not normally distributed what happens like that would be useful to know.
2015,P1_Transcript.vtt,Good data exploration features,00:12:43.290 P1: Excellent data sub tab.
1686,P1_Transcript.vtt,Moderator assist,00:13:53.370 MODERATOR: No that's that's that's for me to control some stuff.
1685,P1_Transcript.vtt,Moderator assist,00:14:05.040 MODERATOR: there's there's no more.
2016,P1_Transcript.vtt,Complex data linking process,00:14:24.990 P1: I guess it's not clarify that that score applies to just this data or the whole dataset.
2052,P1_Transcript.vtt,Complex data linking process,"00:15:46.770 P1: Okay, so what's not clear to me, is exactly what we're looking at here. 00:15:52.050 P1: So this is only referring to. 00:15:55.980 P1: don't see how it relates to the patients."
2053,P1_Transcript.vtt,Complex data linking process,"00:16:19.800 P1: I don't understand how this relates to patients I think what you're showing me here is. 00:16:26.340 P1: Basically, a summary for. 00:16:28.650 P1: For 2020."
2054,P1_Transcript.vtt,Complex data linking process,"00:16:30.480 P1: But it doesn't have any relationship to the patient. 00:16:34.920 P1: Because, Sir, there are no patients with that, during that time period, so I think for running to the thing you might. 00:16:42.720 P1: expand your time period, so you definitely are events within that period."
1684,P1_Transcript.vtt,Moderator assist,00:17:00.900 MODERATOR: task for.
2055,P1_Transcript.vtt,Technical session issues,00:17:53.040 P1: there's a bit of a lag here
2056,P1_Transcript.vtt,Good data exploration features,"00:18:01.260 P1: And you can. 00:18:04.440 P1: click on this to zoom in and using the upper one that's what i'm seeing this is happening. 00:18:12.990 P1: Very cool. 00:18:21.360 P1: Thank you move your window back and forth. 00:18:27.090 P1: I can see here and they're kind of February first was a little bit outside their normal. 00:18:41.580 P1: Okay, so last time series very nice."
