Timestamp,"Input your participant number as: P + Number (e.g. P1, P42)","1. Overall, I am satisfied with how easy it is to use this system. ",Comments,2. It was simple to use this system. ,Comments,3. I could effectively complete the tasks and scenarios using this system. ,Comments,4. I was able to complete the tasks and scenarios quickly using this system. ,Comments,5. I was able to efficiently complete the tasks and scenarios using this system.,Comments,6. I felt comfortable using this system.,Comments,7. It was easy to learn to use this system.,Comments,8. I believe I could become productive quickly using this system. ,Comments,9. The system gave error messages that clearly told me how to fix problems.,Comments,"10. Whenever I made a mistake using the system, I could recover easily and  quickly.",Comments,"11. The information (such as on-line help, on-screen messages and  other documentation) provided with this system was clear. ",Comments,12. It was easy to find the information I needed. ,Comments,13. The information provided for the system was easy to understand. ,Comments,14. The information was effective in helping me complete the tasks and  scenarios. ,Comments,15. The organization of information on the system screens was clear. ,Comments,16. The interface of this system was pleasant. ,Comments,17. I liked using the interface of this system. ,Comments,18. This system has all the functions and capabilities I expect it to have. ,Comments,"19. Overall, I am satisfied with this system. ",Comments
7/11/2022 10:46:40,P1,2,,2,,1,,2,,3,,3,,2,,2,,4,,1,,2,,1,,1,,2,,2,,1,,1,,1,,1,
7/14/2022 10:19:13,P2,3,"Clear process, just small items noted in test to make the entire process clear and slow progress (especially for first time user).",2,"Yes, vry easy. It just needs a little clarity on some details to make it easier to navigate.",2,"Yes, just the metadata file preparation came out of nowhere and is a large requirement to progress in the middle of using the UI.",2,Just the UI step would really slow me down if I didn't use the default (which I shouldn't),2,"Yes, there were no issues. One small glitch with the output file not working and I had to refresh.",1,"Yes, very comfortable",2,Very straightforward.,2,"I would need to think more about its usage for me, but yes it is very intuitive and the report has a lot of interactive options.",2,"the output file in Step 3 didn't work twice, I had to refresh.",1,"Yes, no real ways to make a mistake.",2,Only very minor areas to tweak to enhance clarity.,2,Yes,2,Just needed reminders on occasion of the details - again for a first-time user.,2,"Yes, minor suggested edits/amendments",2,"Only the data analysis step in the report should be moved out, as the rest is linked to the medatadata file.",1,,1,,2,,2,
7/15/2022 12:07:16,P7,2,Seems very straightforward given the complexity of the task.,2,Might be tricky first time but easy to get the hang of.,2,,4,I'm sure I would be quicker the next time I use it.,3,Struggled a bit at first.,2,,3,,2,,,"NA, no errors",,NA,2,The information can be dense but it seems very complete,2,,1,,1,,2,,2,,2,,1,Perfect for my purposes.,2,
7/19/2022 11:35:04,P3,1,,2,,1,,2,,2,,1,,1,,1,,2,,2,,1,,2,,2,,1,,1,,1,,1,,2,,1,
7/20/2022 12:32:39,P4,1,,1,,1,,1,,1,,1,,1,,2,I wish I had clinical information as well.,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Missing clinical information,1,
7/20/2022 16:50:58,P8,3,It is a complex system so hard to makereally easy.,3,,2,,3,,3,,3,,4,,3,,,N/A I don't think I encountered any errors,,N/A I didn't make any mistakes,2,There is a lot of information to get across!,2,,4,"I had plenty of insider/prior knowledge, but I think it could be challenging for a newcomer.",2,,3,,2,,2,,2,,2,
7/21/2022 16:37:46,P9,2,The system was really easy to use. The layout allows for the constraints on the data to be entered quickly. The analysis section is very easy to use and is interesting.,2,,1,I would be be very motivated to use the system as the results are so useful and presented so quickly..,1,"Yes, I was able to finish the tasks and was interested the results produced.",1,,2,,1,Yes the guidance provided within the system is clear and easy to find.,1,It was easy to use the system. There is a lot of functionality in it and I would be prepared to put the effort it to become productive as the results are really useful.,,I dont think I got any error messages.,1,I was able to navigate around the site well.,1,Very useful and clear information presented. I liked that the infromatuion presented was placed in the context where it was needed.,1,,1,,1,,1,,1,,1,I liked using it as the results were very clear and useful.,1,,1,
7/25/2022 12:26:41,P6,2,,2,,2,,3,,3,,3,,3,,1,,2,,2,,2,,2,,2,,2,,2,,1,,1,,2,,1,
8/2/2022 11:07:33,P10,2,,2,,2,A few bugs,1,,1,,1,,1,,2,,3,Need to manage data file upload,2,,2,,2,Text is quite verbose. Perhaps use simpler text with liberal use of hover-over pop ups for deeper explanation,2,Some tweaks required in the graphs,2,,1,,1,,1,,3,Add Copernicus for pollution,2,Make handling of missing data items more explicit
9/2/2022 9:09:31,P12,2,,2,,1,,3,,2,,2,,1,,1,,2,,3,,1,,1,,1,,2,,1,,2,,2,,3,,2,
