id,document,tag,content
2,P1_GMT20220711.odt,Dataset structure clear,"So the example ... event day, it was in February and the following columns have the variables, environmental factors. The temperature and the other variables like precipitation, solar radiation and many empty data."
3,P1_GMT20220711.odt,Data upload confusing,So it is uploaded but I haven't seen it yet.
5,P1_GMT20220711.odt,Step 2 flow unclear,No I don't have to pick any of the linkage purpose options I suppose.
4,P1_GMT20220711.odt,Data upload confusing,I don't understand this paragraph.
6,P1_GMT20220711.odt,Linkage option clear,"So, it depends on the purpose I can choose if the events are for my specific example or season-alike if I want to share it with others. I suppose this is that. Okay, now I select the one for me."
8,P1_GMT20220711.odt,Linkage option unclear,"Okay, to choose from an area within a certain distance I suppose I do not have enough details at the moment to select that."
9,P1_GMT20220711.odt,Linkage option clear,I will choose within an area.
7,P1_GMT20220711.odt,Linkage option clear,"Region levels, NUTS ... Okay if I click here and choose Switzerland I will see the different NUTS. Ah okay, Switzerland is here, okay. Okay, so now we will choose CH05 for St. Gallen. So I can come back and select NUTS-2."
10,P1_GMT20220711.odt,Linkage option clear,Temporal units month and aggregation method the sum.
11,P1_GMT20220711.odt,Step 2 flow unclear,"So now I can link the data, Oh something is going wrong."
12,P1_GMT20220711.odt,Step 2 flow unclear,I don't know if step 2 is ongoing or finished.
13,P1_GMT20220711.odt,Data upload confusing,MODERATOR: In the first step you have uploaded the example table and not your table because you clicked the upload data table button. You will have to upload it again.
13,P1_GMT20220711.odt,Moderator Assist,MODERATOR: In the first step you have uploaded the example table and not your table because you clicked the upload data table button. You will have to upload it again.
14,P1_GMT20220711.odt,Step 2 flow unclear,MODERATOR: You also missed to select two options from the linkage options.
14,P1_GMT20220711.odt,Moderator Assist,MODERATOR: You also missed to select two options from the linkage options.
15,P1_GMT20220711.odt,Data upload confusing,"So drag and drop, I can select the file here. I hope I have uploaded the correct file but it does not say anything."
16,P1_GMT20220711.odt,Data upload confusing,MODERATOR: You have a message right below it.
16,P1_GMT20220711.odt,Moderator Assist,MODERATOR: You have a message right below it.
17,P1_GMT20220711.odt,Data upload clear,"Oh okay, with this message I can go to the next step."
19,P1_GMT20220711.odt,Metadata upload off-guard,Oh but I did not prepare the metadata file for this.
18,P1_GMT20220711.odt,Moderator Assist,"MODERATOR: No problem, you can use the example."
20,P1_GMT20220711.odt,Linkage option clear,"Yeah, I have completed this ... NUTS-2 ... month ... sum ..."
21,P1_GMT20220711.odt,Linkage process clear,Okay now it is working.
22,P1_GMT20220711.odt,Linkage option clear,"Within an area CH05, I will get all the data. It will not be only St. Gallen I suppose."
23,P1_GMT20220711.odt,Linkage process clear,"Okay, I can see it is also loading step 3."
24,P1_GMT20220711.odt,Export output error,"Okay, now I have to export but I already clicked on the link. Do I have to do it again?"
25,P1_GMT20220711.odt,Moderator Assist,MODERATOR: I think it did not work. Could you please show me the table you imported?
25,P1_GMT20220711.odt,Export output error,MODERATOR: I think it did not work. Could you please show me the table you imported?
26,P1_GMT20220711.odt,Technical web issues,"Sure, I will reshare my screen. Can you see it now?"
34,P1_GMT20220711.odt,Moderator Assist,"MODERATOR: Oh, I see the length of your time window is 30days and you have selected months. So you get a single data value or none. Do you mind resharing your screen and then I will resume the timer?"
36,P1_GMT20220711.odt,Temporal unit not viable,"MODERATOR: Oh, I see the length of your time window is 30days and you have selected months. So you get a single data value or none."
35,P1_GMT20220711.odt,Zoom technical,Do you mind resharing your screen and then I will resume the timer?
27,P1_GMT20220711.odt,Export output error,"Sure, okay now if it is working. Export output. But I do not get any output."
29,P1_GMT20220711.odt,Moderator Assist,MODERATOR: Did you get any pop-up window after clicking the button because I could not see it due to your Zoom settings.
29,P1_GMT20220711.odt,Export output error,MODERATOR: Did you get any pop-up window after clicking the button because I could not see it due to your Zoom settings.
28,P1_GMT20220711.odt,Export output error,I clicked on export output but nothing happened. I am checking downloads and I do not see anything.
30,P1_GMT20220711.odt,Moderator Assist,"MODERATOR: Okay let's try to refresh, link and export again because it should have popped up an export window. The last query seemed to work because I can see it here but maybe the SUM is not working, I am not sure I will have to check."
30,P1_GMT20220711.odt,Technical web issues,"MODERATOR: Okay let's try to refresh, link and export again because it should have popped up an export window. The last query seemed to work because I can see it here but maybe the SUM is not working, I am not sure I will have to check."
37,P1_GMT20220711.odt,Linkage process clear,"Sure, yes of course. I have selected the same options. Okay, now it is working."
38,P1_GMT20220711.odt,Export fine,I can see a zip file here.
39,P1_GMT20220711.odt,Data upload confusing,Oh I guess I can input my event file now. I will check if it is a .csv file because I am not sure. I will upload the correct one ... upload .
31,P1_GMT20220711.odt,Data upload confusing,MODERATOR: If you click the data table button you upload the data table in the example not yours. You will have to refresh the website again. Apologies I need to include a message there mentioning that you don't need to click the button if you had already input your own table.
31,P1_GMT20220711.odt,Moderator Assist,MODERATOR: If you click the data table button you upload the data table in the example not yours. You will have to refresh the website again. Apologies I need to include a message there mentioning that you don't need to click the button if you had already input your own table.
40,P1_GMT20220711.odt,Linkage option clear,"So now I have my csv file uploaded, and I will be using the metadata file from the example because I don't have one."
32,P1_GMT20220711.odt,Linkage option clear,"Okay, within an area ... NUTS-2 ... day ... mean."
33,P1_GMT20220711.odt,Linkage process clear,"Okay, it's good it works!"
41,P1_GMT20220711.odt,CSV output clear,"It seems like you have a lot of variables, no missing data, the events here with the dates."
44,P1_GMT20220711.odt,Data table structure confusing,"I have 3 patients but in the output I have 4 patients, why is that? Did it take into account my CSV file? I think it was only 3 events/patients when I uploaded my data."
43,P1_GMT20220711.odt,CSV output clear,"Let me check that. Oh no, I had four. It is fine. I asked for 30 days so that is why I have November, December and so on."
42,P1_GMT20220711.odt,CSV output clear,"Yeah, okay it seems pretty good, that is one file."
45,P1_GMT20220711.odt,Moderator Assist,MODERATOR: Do you mind going back to the tasks?
46,P1_GMT20220711.odt,Dataset structure clear,"A, B, C and D and then you have the dates, the lag, which I suppose is 30 days ... 30 rows for A. For B, the same but I never get the full 30 days, it is 29 or 28 ... Does the month influence the number of days? The columns are fine and the colours are explained here."
47,P1_GMT20220711.odt,Filter table useful,"I have to put A to search for event A, oh I see I have only the A now."
49,P1_GMT20220711.odt,Dataset structure clear,"So here, I have them in blue."
53,P1_GMT20220711.odt,Plot clear,"Okay, each line is a variable and I asked for 30 days and that is why I have from 0 to 30 days."
52,P1_GMT20220711.odt,Plot clear,"If I want to select one variable in the plot, let me see. Okay, I understand now."
50,P1_GMT20220711.odt,Plot clear,The columns correspond to the weather changes.
51,P1_GMT20220711.odt,Plot clear,"Z-scores, yes okay."
48,P1_GMT20220711.odt,"Easy, time saving and better",It has changed a lot from the previous version.
54,P1_GMT20220711.odt,Plot clear,"Okay, here I can select the individual events: A, B, C and D."
55,P1_GMT20220711.odt,Plot not clear,"For D, I do not have any line, I don't understand."
56,P1_GMT20220711.odt,Confidence in using the data,"Yes, I am confident."
58,P1_GMT20220711.odt,Confidence in using the data,I suppose I need to read the report with more time to read the details so I can be more confident in using the data.
60,P1_GMT20220711.odt,Complete output,"No, it is really complete."
61,P1_GMT20220711.odt,Complete output,"You have all the csv files, the interpretation in the html file, so for now I do not have any other query."
62,P1_GMT20220711.odt,Complete output,I suppose if we are going to use other variables we have to estimate the other variables with the available data. But it would be done later on the analysis.
63,P1_GMT20220711.odt,Complete output,My impression is that it is really complete.
64,P1_GMT20220711.odt,Usable tool and data,It is usable.
65,P1_GMT20220711.odt,Real use case application,"I would like to use it in real conditions to see if there is something lacking, but the first impression is that I have everything available for the analysis."
66,P2_GMT20220714.odt,Text or feature improvement,"You provided a description of event here, just a comment but putting an asterisk which is almost like a footnote or something. because at the moment I am developing terminology around principles. It is good to have a clear link between this and this so it is not out of sync but it has a purpose."
67,P2_GMT20220714.odt,Text or feature improvement,Not sure if the wording of that first sentence ...
68,P2_GMT20220714.odt,Text or feature improvement,I like the temporal and spatial aspects but it is probably more scientific in language but it may be space there.
69,P2_GMT20220714.odt,Text or feature improvement,This is kind of the location and timestamp ... Just notice the word POINT comes up but I note that the location point is a different term that the one previously used
70,P2_GMT20220714.odt,Text or feature improvement,"I would like to click to see the example. Okay, it is a spreadsheet, tabular form data ... I don't know if this is external or part of the platform but some of these do not have units. This needs to be clear as the temperature could be Kelvin or Celsius which could change everything."
71,P2_GMT20220714.odt,Complete output,"Other than that it seems fine, in terms of preview and download different datasets that are available. I am guessing you can download it as CSV or other options but I am not going to go there."
73,P2_GMT20220714.odt,Text consistent,The language is the same which is good to see the consistency between the interface and the output.
74,P2_GMT20220714.odt,Text or feature improvement,The only thing I would think of is that the metrics are missing there.
75,P2_GMT20220714.odt,Text or feature improvement,"So if I remember correctly this is like what it does. Yeah, okay I am thinking if there is a way to put coision into this like putting 1, 2 and 3 here. Just to show that when you come down here that is what Iread exactly"
76,P2_GMT20220714.odt,Linkage process clear,"Okay, so step 1, step 2, step 3 ... very nice flow to it."
80,P2_GMT20220714.odt,Data upload clear,Okay so you can export the sample which is very good so you don't have to start from scratch.
81,P2_GMT20220714.odt,Data upload clear,"I suppose that this is why this export is permitted, very good."
82,P2_GMT20220714.odt,Data upload clear,"Yes, the naming of the file is not an issue when exporting the table."
83,P2_GMT20220714.odt,Data upload clear,When uploading the table I guess you can import any file but I won't test that just yet because the scenarios might have to do with that.
84,P2_GMT20220714.odt,Data upload confusing,"For example, the format Iam importing the data. There is no reference for the type of file ... Does it have to be CSV, EXCEL or another format that is accepted. Old versions of excel like version 3 which sometimes people save files as. You can choose from conversion options."
85,P2_GMT20220714.odt,Text or feature improvement,"So linkage seems to me the word that is used but I would probably like to see ""event"" and ""environmental"" featured here. Because for me I had to go back and remind myself of it."
86,P2_GMT20220714.odt,Linkage process clear,"As a first time user Ineed to be very transparent, but as a fifth time user, this is second nature."
86,P2_GMT20220714.odt,Usable tool and data,"As a first time user Ineed to be very transparent, but as a fifth time user, this is second nature."
